Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,1 week change,1 week % increase,Deaths / 100 Recovered,Confirmed last week
36263,1269,25198,9796,106,10,18,3.5,69.49,737,2.07,5.04,35526
4880,144,2745,1991,117,6,63,2.95,56.25,709,17,5.25,4171
27973,1163,18837,7973,616,8,749,4.16,67.34,4282,18.07,6.17,23691
907,52,803,52,10,0,0,5.73,88.53,23,2.6,6.48,884
950,41,242,667,18,1,0,4.32,25.47,201,26.84,16.94,749
86,3,65,18,4,0,5,3.49,75.58,10,13.16,4.62,76
167416,3059,72575,91782,4890,120,2057,1.83,43.35,36642,28.02,4.21,130774
37390,711,26665,10014,73,6,187,1.9,71.32,2409,6.89,2.67,34981
15303,167,9311,5825,368,6,137,1.09,60.84,2875,23.13,1.79,12428
20558,713,18246,1599,86,1,37,3.47,88.75,815,4.13,3.91,19743
30446,423,23242,6781,396,6,558,1.39,76.34,2556,9.16,1.82,27890
382,11,91,280,40,0,0,2.88,23.82,208,119.54,12.09,174
39482,141,36110,3231,351,1,421,0.36,91.46,2546,6.89,0.39,36936
226225,2965,125683,97577,2772,37,1801,1.31,55.56,18772,9.05,2.36,207453
110,7,94,9,0,0,0,6.36,85.45,4,3.77,7.45,106
67251,538,60492,6221,119,4,67,0.8,89.95,1038,1.57,0.89,66213
66428,9822,17452,39154,402,1,14,14.79,26.27,2334,3.64,56.28,64094
48,2,26,20,0,0,0,4.17,54.17,8,20,7.69,40
1770,35,1036,699,0,0,0,1.98,58.53,168,10.49,3.38,1602
99,0,86,13,4,0,1,0,86.87,9,10,0,90
71181,2647,21478,47056,1752,64,309,3.72,30.17,10190,16.71,12.32,60991
10498,294,4930,5274,731,14,375,2.8,46.96,2019,23.81,5.96,8479
739,2,63,674,53,1,11,0.27,8.53,217,41.57,3.17,522
2442375,87618,1846641,508116,23284,614,33728,3.59,75.61,323729,15.28,4.74,2118646
141,3,138,0,0,0,0,2.13,97.87,0,0,2.17,141
10621,347,5585,4689,194,7,230,3.27,52.58,1692,18.95,6.21,8929
1100,53,926,121,14,0,6,4.82,84.18,35,3.29,5.72,1065
350,6,292,52,0,0,2,1.71,83.43,9,2.64,2.05,341
378,1,301,76,17,0,22,0.26,79.63,56,17.39,0.33,322
2328,22,1550,756,21,0,103,0.95,66.58,257,12.41,1.42,2071
226,0,147,79,1,0,4,0,65.04,55,32.16,0,171
17110,391,14539,2180,402,6,0,2.29,84.97,953,5.9,2.69,16157
4599,59,1546,2994,0,0,0,1.28,33.62,51,1.12,3.82,4548
922,75,810,37,7,0,0,8.13,87.85,33,3.71,9.26,889
347923,9187,319954,18782,2133,75,1859,2.64,91.96,14894,4.47,2.87,333029
86783,4656,78869,3258,213,4,7,5.37,90.88,1161,1.36,5.9,85622
257101,8777,131161,117163,16306,508,11494,3.41,51.02,53096,26.03,6.69,204005
354,7,328,19,0,0,0,1.98,92.66,20,5.99,2.13,334
3200,54,829,2317,162,3,73,1.69,25.91,349,12.24,6.51,2851
8844,208,5700,2936,13,4,190,2.35,64.45,401,4.75,3.65,8443
15841,115,3824,11902,612,11,88,0.73,24.14,4307,37.34,3.01,11534
15655,96,10361,5198,59,0,183,0.61,66.18,1343,9.38,0.93,14312
4881,139,3936,806,24,3,70,2.85,80.64,511,11.69,3.53,4370
2532,87,2351,94,37,0,2,3.44,92.85,86,3.52,3.7,2446
1060,19,852,189,3,0,0,1.79,80.38,22,2.12,2.23,1038
15516,373,11428,3715,192,2,0,2.4,73.65,1418,10.06,3.26,14098
13761,613,12605,543,109,0,77,4.45,91.6,308,2.29,4.86,13453
5059,58,4977,24,9,0,11,1.15,98.38,39,0.78,1.17,5020
18,0,18,0,0,0,0,0,100,0,0,0,18
64156,1083,30204,32869,1248,20,1601,1.69,47.08,10200,18.9,3.59,53956
81161,5532,34896,40733,467,17,0,6.82,43,6541,8.77,15.85,74620
92482,4652,34838,52992,420,46,1007,5.03,37.67,4080,4.62,13.35,88402
15035,408,7778,6849,405,8,130,2.71,51.73,2828,23.17,5.25,12207
3071,51,842,2178,0,0,0,1.66,27.42,0,0,6.06,3071
265,0,191,74,2,0,2,0,72.08,14,5.58,0,251
2034,69,1923,42,0,0,1,3.39,94.54,13,0.64,3.59,2021
2316,34,1025,1257,109,2,39,1.47,44.26,490,26.83,3.32,1826
14547,228,6386,7933,579,5,170,1.57,43.9,4340,42.52,3.57,10207
27,0,18,9,0,0,0,0,66.67,0,0,0,27
7398,329,6920,149,5,0,0,4.45,93.54,58,0.79,4.75,7340
220352,30212,81212,108928,2551,17,267,13.71,36.86,6329,2.96,37.2,214023
7189,49,4682,2458,205,0,219,0.68,65.13,756,11.75,1.05,6433
326,8,66,252,49,2,6,2.45,20.25,214,191.07,12.12,112
1137,16,922,199,6,0,2,1.41,81.09,98,9.43,1.74,1039
207112,9125,190314,7673,445,1,259,4.41,91.89,3787,1.86,4.79,203325
33624,168,29801,3655,655,0,307,0.5,88.63,5194,18.27,0.56,28430
4227,202,1374,2651,34,0,0,4.78,32.51,215,5.36,14.7,4012
14,0,13,1,1,0,0,0,92.86,1,7.69,0,13
23,0,23,0,0,0,0,0,100,0,0,0,23
45309,1761,32455,11093,256,27,843,3.89,71.63,6270,16.06,5.43,39039
7055,45,6257,753,47,2,105,0.64,88.69,465,7.06,0.72,6590
1954,26,803,1125,0,0,0,1.33,41.1,5,0.26,3.24,1949
389,20,181,188,19,0,0,5.14,46.53,52,15.43,11.05,337
7340,158,4365,2817,25,1,0,2.15,59.47,287,4.07,3.62,7053
12,0,12,0,0,0,0,0,100,0,0,0,12
39741,1166,5039,33536,465,50,117,2.93,12.68,5130,14.82,23.14,34611
4448,596,3329,523,13,0,0,13.4,74.84,109,2.51,17.9,4339
1854,10,1823,21,7,0,0,0.54,98.33,15,0.82,0.55,1839
1480073,33408,951166,495499,44457,637,33598,2.26,64.26,324735,28.11,3.51,1155338
100303,4838,58173,37292,1525,57,1518,4.82,58,12089,13.7,8.32,88214
293606,15912,255144,22550,2434,212,1931,5.42,86.9,17404,6.3,6.24,276202
112585,4458,77144,30983,2553,96,1927,3.96,68.52,17892,18.89,5.78,94693
25892,1764,23364,764,11,0,0,6.81,90.24,126,0.49,7.55,25766
63985,474,27133,36378,2029,4,108,0.74,42.41,11982,23.04,1.75,52003
