пролет,Al,C,Cr,Cu,Mn,Mo,Ni,P,S,Si,Mn/S,S+P,% брака от предъявленного
8,0.045,0.215,0.174,0.063,1.335,0.013,0.151,0.0113,0.0174,0.371,76.72413793,0.0287,12.5
8,0.037,0.205,0.214,0.083,1.216,0.021,0.157,0.0136,0.0145,0.362,83.86206897,0.0281,5.56
8,0.042,0.218,0.185,0.077,1.303,0.005,0.138,0.0132,0.0183,0.415,71.20218579,0.0315,11.76
7,0.027,0.195,0.159,0.083,1.249,0.011,0.108,0.0116,0.0138,0.314,90.50724638,0.0254,10
8,0.056,0.208,0.203,0.065,1.334,0.026,0.149,0.0131,0.0166,0.411,80.36144578,0.0297,5.56
8,0.041,0.207,0.181,0.052,1.231,0.036,0.19,0.0122,0.0171,0.399,71.98830409,0.0293,10
7,0.035,0.203,0.185,0.05,1.202,0.035,0.189,0.0105,0.0159,0.385,75.59748428,0.0264,16.67
8,0.047,0.203,0.216,0.061,1.435,0.054,0.156,0.0114,0.0185,0.42,77.56756757,0.0299,12.5
7,0.044,0.217,0.213,0.061,1.474,0.055,0.158,0.0141,0.0193,0.417,76.37305699,0.0334,16.67
7,0.045,0.188,0.238,0.104,1.297,0.022,0.229,0.0121,0.0194,0.419,66.8556701,0.0315,50
8,0.035,0.21,0.205,0.096,1.153,0.018,0.467,0.0102,0.0154,0.369,74.87012987,0.0256,10
8,0.043,0.207,0.251,0.086,1.285,0.018,0.174,0.0177,0.0209,0.356,61.48325359,0.0386,55
7,0.04,0.209,0.169,0.062,1.234,0.025,0.146,0.0106,0.0162,0.385,76.17283951,0.0268,25
8,0.03,0.207,0.182,0.066,1.251,0.027,0.149,0.0121,0.0164,0.368,76.2804878,0.0285,25
7,0.044,0.207,0.165,0.057,1.259,0.019,0.182,0.0106,0.0185,0.407,68.05405405,0.0291,50
7,0.035,0.197,0.196,0.06,1.152,0.032,0.179,0.012,0.0171,0.359,67.36842105,0.0291,36.36
8,0.037,0.202,0.196,0.061,1.212,0.033,0.18,0.0109,0.0164,0.376,73.90243902,0.0273,16.67
8,0.039,0.195,0.157,0.063,1.163,0.014,0.177,0.0121,0.0142,0.402,81.90140845,0.0263,12.5
7,0.036,0.204,0.172,0.065,1.216,0.014,0.178,0.0151,0.0139,0.421,87.48201439,0.029,7.14
8,0.043,0.197,0.168,0.055,1.326,0.013,0.149,0.0123,0.015,0.403,88.4,0.0273,8.33
7,0.05,0.22,0.197,0.077,1.362,0.028,0.156,0.0184,0.0242,0.421,56.28099174,0.0426,22.22
8,0.053,0.211,0.165,0.079,1.36,0.05,0.237,0.0141,0.0195,0.45,69.74358974,0.0336,16.67
7,0.046,0.207,0.161,0.078,1.256,0.05,0.239,0.0124,0.0194,0.424,64.74226804,0.0318,12.5
8,0.041,0.202,0.159,0.066,1.23,0.039,0.132,0.0096,0.0151,0.409,81.45695364,0.0247,25
7,0.04,0.199,0.156,0.067,1.175,0.039,0.135,0.0101,0.0166,0.382,70.78313253,0.0267,33.33
7,0.046,0.209,0.164,0.068,1.319,0.019,0.162,0.0102,0.0176,0.394,74.94318182,0.0278,30
8,0.044,0.196,0.159,0.069,1.311,0.02,0.16,0.01,0.0174,0.418,75.34482759,0.0274,16.67
7,0.05,0.191,0.157,0.076,1.217,0.025,0.209,0.008,0.0171,0.407,71.16959064,0.0251,16.67
8,0.047,0.209,0.156,0.078,1.272,0.027,0.213,0.0094,0.0197,0.423,64.56852792,0.0291,50
7,0.051,0.251,0.193,0.073,1.342,0.038,0.215,0.0145,0.0201,0.393,66.76616915,0.0346,60
8,0.037,0.201,0.126,0.062,1.189,0.015,0.205,0.008,0.0132,0.382,90.07575758,0.0212,16.67
7,0.037,0.205,0.199,0.087,1.263,0.02,0.182,0.016,0.0173,0.299,73.00578035,0.0333,50
8,0.041,0.217,0.198,0.087,1.33,0.02,0.183,0.016,0.0169,0.341,78.69822485,0.0329,20
8,0.043,0.243,0.173,0.058,1.182,0.021,0.164,0.0098,0.0167,0.366,70.77844311,0.0265,5
8,0.038,0.219,0.191,0.078,1.229,0.021,0.201,0.0098,0.0185,0.363,66.43243243,0.0283,30
7,0.039,0.23,0.186,0.092,1.271,0.023,0.178,0.0133,0.0189,0.402,67.24867725,0.0322,16.67
8,0.048,0.221,0.259,0.086,1.307,0.032,0.223,0.0129,0.0189,0.439,69.15343915,0.0318,33.33
7,0.04,0.224,0.261,0.086,1.279,0.032,0.221,0.0141,0.0189,0.409,67.67195767,0.033,33.33
7,0.041,0.21,0.19,0.08,1.28,0.03,0.21,0.012,0.02,0.41,64,0.032,50
8,0.043,0.23,0.16,0.07,1.29,0.02,0.15,0.011,0.017,0.38,75.88235294,0.028,16.67
7,0.04,0.22,0.18,0.05,1.25,0.03,0.17,0.012,0.014,0.37,89.28571429,0.026,16.67
8,0.049,0.21,0.17,0.05,1.26,0.03,0.17,0.011,0.014,0.39,90,0.025,21.43
8,0.047,0.22,0.14,0.14,1.2,0.02,0.15,0.008,0.015,0.41,80,0.023,7.14
7,0.023,0.21,0.21,0.06,1.15,0.02,0.17,0.013,0.018,0.28,63.88888889,0.031,44.44
8,0.046,0.2,0.2,0.06,1.3,0.02,0.16,0.013,0.017,0.38,76.47058824,0.03,10
7,0.044,0.22,0.18,0.06,1.28,0.02,0.16,0.011,0.018,0.41,71.11111111,0.029,10
8,0.039,0.22,0.17,0.06,1.17,0.02,0.16,0.01,0.017,0.36,68.82352941,0.027,22.22
7,0.046,0.21,0.16,0.06,1.19,0.01,0.18,0.008,0.015,0.35,79.33333333,0.023,5.56
8,0.047,0.22,0.16,0.06,1.27,0.01,0.18,0.009,0.015,0.4,84.66666667,0.024,14.29
7,0.041,0.2,0.19,0.06,1.22,0.02,0.15,0.011,0.015,0.35,81.33333333,0.026,16.67
